name,open_source,cost_usd,cost_rmb,provider,tokens_per_sec,context_window,nation
GPT-5.2,n,1.75,0,OpenAI,42,400000,美国
Claude-Sonnet-4.5,n,3,0,Anthropic,34,200000,美国
Gemini-3-flash-preview,n,0.5,0,Google,90,1000000,美国
Gemini-3-pro-preview,n,3,0,Google,80,1000000,美国
GLM-4.6,y,0,3,智谱,30,200000,中国
GLM-4.7,y,0,3,智谱,30,200000,中国
MiniMax-M2,y,0,2.1,Minimax,60,200000,中国
MiniMax-M2.1,y,0,2.1,Minimax,60,200000,中国
Kimi-k2-thinking,y,0,4,Kimi,18,256000,中国 
Deepseek-v3.2,y,0,2,Deepseek,30,128000,中国
doubao-seed-1.8,n,0,1.3,字节跳动,40,256000,中国
